DateTime,PAR (raw),PAR (CALC),,serial #,478
6/25/2021 18:57,9717,94.27147157,,,
6/25/2021 18:57,9722,94.64855536,,,
6/25/2021 18:57,9717,94.27147157,,,
6/25/2021 18:57,9713,93.97088649,,,
6/25/2021 19:02,9823,102.5970312,,,
6/25/2021 19:02,9824,102.6789774,,,
6/25/2021 19:02,9829,103.089691,,,
6/25/2021 19:02,9830,103.1720307,,,
6/25/2021 19:02,9832,103.3369073,,,
6/25/2021 19:02,9831,103.2544361,,,
6/25/2021 19:02,9824,102.6789774,,,
6/25/2021 19:02,9818,102.1882804,,,
6/25/2021 19:02,9828,103.0074171,,,
6/25/2021 19:02,9832,103.3369073,,,
6/25/2021 19:07,9832,103.3369073,,,
6/25/2021 19:07,9831,103.2544361,,,
6/25/2021 19:07,9829,103.089691,,,
6/25/2021 19:07,9831,103.2544361,,,
6/25/2021 19:07,9836,103.6674515,,,
6/25/2021 19:07,9837,103.7502527,,,
6/25/2021 19:07,9830,103.1720307,,,
6/25/2021 19:07,9824,102.6789774,,,
6/25/2021 19:07,9831,103.2544361,,,
6/25/2021 19:07,9830,103.1720307,,,
6/25/2021 19:12,9202,62.48976017,,,
6/25/2021 19:12,9198,62.29051124,,,
6/25/2021 19:12,9201,62.43988826,,,
6/25/2021 19:12,9194,62.09189762,,,
6/25/2021 19:12,9185,61.64732934,,,
6/25/2021 19:12,9181,61.45076651,,,
6/25/2021 19:12,9182,61.49984838,,,
6/25/2021 19:12,9182,61.49984838,,,
6/25/2021 19:12,9179,61.35272025,,,
6/25/2021 19:12,9174,61.10828846,,,
6/25/2021 19:17,7716,19.07885335,,,
6/25/2021 19:17,7712,19.01802033,,,
6/25/2021 19:17,7706,18.92713429,,,
6/25/2021 19:17,7708,18.95738127,,,
6/25/2021 19:17,7709,18.97252288,,,
6/25/2021 19:17,7706,18.92713429,,,
6/25/2021 19:17,7702,18.86678502,,,
6/25/2021 19:17,7695,18.76163646,,,
6/25/2021 19:17,7693,18.73170179,,,
6/25/2021 19:17,7695,18.76163646,,,
6/25/2021 19:22,7237,13.01557935,,,
6/25/2021 19:22,7229,12.93271119,,,
6/25/2021 19:22,7231,12.95337863,,,
6/25/2021 19:22,7231,12.95337863,,,
6/25/2021 19:22,7223,12.8709065,,,
6/25/2021 19:22,7216,12.79917422,,,
6/25/2021 19:22,7215,12.78895944,,,
6/25/2021 19:22,7215,12.78895944,,,
6/25/2021 19:22,7214,12.77875282,,,
6/25/2021 19:22,7209,12.72784173,,,
6/25/2021 19:27,6540,7.460797962,,,
6/25/2021 19:27,6540,7.460797962,,,
6/25/2021 19:27,6538,7.448894069,,,
6/25/2021 19:27,6539,7.45484364,,,
6/25/2021 19:27,6546,7.496623903,,,
6/25/2021 19:27,6546,7.496623903,,,
6/25/2021 19:27,6545,7.490640988,,,
6/25/2021 19:27,6568,7.629463811,,,
6/25/2021 19:27,6562,7.593003036,,,
6/25/2021 19:27,6557,7.562752196,,,
6/25/2021 19:32,6983,10.62652779,,,
6/25/2021 19:32,6978,10.58419126,,,
6/25/2021 19:32,6976,10.56730391,,,
6/25/2021 19:32,6983,10.62652779,,,
6/25/2021 19:32,6986,10.65201095,,,
6/25/2021 19:32,6995,10.72882768,,,
6/25/2021 19:32,7008,10.8407642,,,
6/25/2021 19:32,7012,10.8754406,,,
6/25/2021 19:32,7003,10.79757414,,,
6/25/2021 19:32,7010,10.85808856,,,
6/25/2021 19:37,7603,17.43293768,,,
6/25/2021 19:37,7588,17.22540605,,,
6/25/2021 19:37,7582,17.14308681,,,
6/25/2021 19:37,7586,17.19792247,,,
6/25/2021 19:37,7583,17.15677931,,,
6/25/2021 19:37,7586,17.19792247,,,
6/25/2021 19:37,7577,17.07478804,,,
6/25/2021 19:37,7564,16.89848198,,,
6/25/2021 19:37,7563,16.88499561,,,
6/25/2021 19:37,7559,16.83115772,,,
6/25/2021 19:42,8744,43.35125211,,,
6/25/2021 19:42,8738,43.14407893,,,
6/25/2021 19:42,8734,43.00651381,,,
6/25/2021 19:42,8737,43.10964646,,,
6/25/2021 19:42,8751,43.59421183,,,
6/25/2021 19:42,8757,43.80354649,,,
6/25/2021 19:42,8755,43.73365682,,,
6/25/2021 19:42,8752,43.62903134,,,
6/25/2021 19:42,8756,43.7685877,,,
6/25/2021 19:42,8764,44.04904107,,,
6/25/2021 19:47,8700,41.85477943,,,
6/25/2021 19:47,8702,41.92166652,,,
6/25/2021 19:47,8697,41.75464885,,,
6/25/2021 19:47,8691,41.55510575,,,
6/25/2021 19:47,8682,41.25757769,,,
6/25/2021 19:47,8678,41.12602769,,,
6/25/2021 19:47,8680,41.19175017,,,
6/25/2021 19:47,8680,41.19175017,,,
6/25/2021 19:47,8680,41.19175017,,,
6/25/2021 19:47,8668,40.79898485,,,
6/25/2021 19:52,8207,28.23591872,,,
6/25/2021 19:52,8206,28.21338416,,,
6/25/2021 19:52,8211,28.32623707,,,
6/25/2021 19:52,8208,28.25847127,,,
6/25/2021 19:52,8199,28.05614504,,,
6/25/2021 19:52,8191,27.87751594,,,
6/25/2021 19:52,8189,27.83303666,,,
6/25/2021 19:52,8185,27.74429087,,,
6/25/2021 19:52,8180,27.63375646,,,
6/25/2021 19:52,8176,27.54564609,,,
6/25/2021 19:57,8919,49.85184744,,,
6/25/2021 19:57,8910,49.494916,,,
