Date,Time,Speed (cm/s),Heading (degrees),Velocity-N (cm/s),Velocity-E (cm/s)
2021-06-23,07:55:00.000,69.07,186.76,-68.58,-8.13
2021-06-23,08:00:00.000,69.07,186.84,-68.58,-8.22
2021-06-23,08:05:00.000,69.07,186.96,-68.56,-8.37
2021-06-23,08:10:00.000,69.07,187.00,-68.55,-8.41
2021-06-23,08:15:00.000,69.07,187.00,-68.55,-8.41
2021-06-23,08:20:00.000,69.07,186.92,-68.56,-8.32
2021-06-23,08:25:00.000,69.07,186.83,-68.58,-8.21
2021-06-23,08:30:00.000,69.07,186.81,-68.58,-8.19
2021-06-23,08:35:00.000,69.07,187.27,-68.51,-8.74
2021-06-23,08:40:00.000,69.06,187.04,-68.54,-8.47
2021-06-23,08:45:00.000,69.06,186.69,-68.59,-8.04
2021-06-23,08:50:00.000,69.06,186.68,-68.59,-8.03
2021-06-23,08:55:00.000,69.06,186.76,-68.58,-8.13
2021-06-23,09:00:00.000,69.06,186.80,-68.58,-8.18
2021-06-23,09:05:00.000,69.06,186.78,-68.58,-8.15
2021-06-23,09:10:00.000,69.06,186.85,-68.57,-8.24
2021-06-23,09:15:00.000,69.06,186.81,-68.57,-8.18
2021-06-23,09:20:00.000,69.06,186.74,-68.59,-8.10
2021-06-23,09:25:00.000,69.06,186.63,-68.60,-7.97
2021-06-23,09:30:00.000,69.06,186.65,-68.60,-8.00
2021-06-23,09:35:00.000,69.06,186.74,-68.59,-8.10
2021-06-23,09:40:00.000,69.06,186.81,-68.58,-8.19
2021-06-23,09:45:00.000,69.06,186.78,-68.58,-8.15
2021-06-23,09:50:00.000,69.06,186.88,-68.57,-8.27
2021-06-23,09:55:00.000,69.06,186.78,-68.58,-8.15
2021-06-23,10:00:00.000,69.06,186.86,-68.57,-8.25
2021-06-23,10:05:00.000,69.07,186.76,-68.59,-8.13
2021-06-23,10:10:00.000,69.06,186.76,-68.58,-8.13
2021-06-23,10:15:00.000,69.07,186.84,-68.57,-8.23
2021-06-23,10:20:00.000,69.07,186.95,-68.56,-8.36
2021-06-23,10:25:00.000,69.06,187.02,-68.55,-8.44
2021-06-23,10:30:00.000,69.06,187.05,-68.54,-8.47
2021-06-23,10:35:00.000,69.06,187.03,-68.54,-8.45
2021-06-23,10:40:00.000,69.06,186.94,-68.56,-8.35
2021-06-23,10:45:00.000,69.07,187.17,-68.53,-8.62
2021-06-23,10:50:00.000,69.06,187.19,-68.52,-8.64
2021-06-23,10:55:00.000,69.06,186.88,-68.56,-8.27
2021-06-23,11:00:00.000,69.06,186.79,-68.58,-8.16
2021-06-23,11:05:00.000,69.06,186.65,-68.60,-8.00
2021-06-23,11:10:00.000,69.06,186.68,-68.59,-8.03
2021-06-23,11:15:00.000,69.06,186.76,-68.58,-8.13
2021-06-23,11:20:00.000,69.06,186.81,-68.58,-8.19
2021-06-23,11:25:00.000,69.06,186.93,-68.56,-8.33
2021-06-23,11:30:00.000,69.06,186.93,-68.56,-8.34
2021-06-23,11:35:00.000,69.06,186.63,-68.60,-7.97
2021-06-23,11:40:00.000,69.06,186.74,-68.59,-8.11
2021-06-23,11:45:00.000,69.06,186.70,-68.59,-8.06
2021-06-23,11:50:00.000,69.06,186.80,-68.58,-8.17
2021-06-23,11:55:00.000,69.07,187.00,-68.55,-8.42
2021-06-23,12:00:00.000,69.06,187.06,-68.54,-8.49
2021-06-23,12:05:00.000,69.06,187.37,-68.49,-8.86
2021-06-23,12:10:00.000,69.06,186.97,-68.55,-8.38
2021-06-23,12:15:00.000,69.06,186.66,-68.59,-8.01
2021-06-23,12:20:00.000,69.06,186.68,-68.59,-8.03
2021-06-23,12:25:00.000,69.06,186.74,-68.58,-8.10
2021-06-23,12:30:00.000,69.06,186.66,-68.59,-8.01
2021-06-23,12:35:00.000,69.06,186.66,-68.59,-8.01
2021-06-23,12:40:00.000,69.06,186.69,-68.59,-8.05
2021-06-23,12:45:00.000,69.06,186.89,-68.56,-8.28
2021-06-23,12:50:00.000,69.06,187.02,-68.54,-8.44
2021-06-23,12:55:00.000,69.06,187.04,-68.54,-8.46
2021-06-23,13:00:00.000,69.06,186.84,-68.57,-8.22
2021-06-23,13:05:00.000,69.06,186.80,-68.57,-8.17
2021-06-23,13:10:00.000,69.06,187.02,-68.54,-8.44
2021-06-23,13:15:00.000,69.06,187.08,-68.54,-8.51
2021-06-23,13:20:00.000,69.06,186.82,-68.57,-8.20
2021-06-23,13:25:00.000,69.06,187.40,-68.49,-8.89
2021-06-23,13:30:00.000,69.06,186.80,-68.57,-8.18
2021-06-23,13:35:00.000,69.06,186.96,-68.55,-8.37
2021-06-23,13:40:00.000,69.06,186.99,-68.55,-8.40
2021-06-23,13:45:00.000,69.06,186.94,-68.55,-8.35
2021-06-23,13:50:00.000,69.06,186.86,-68.56,-8.24
2021-06-23,13:55:00.000,69.06,186.75,-68.58,-8.12
2021-06-23,14:00:00.000,69.06,186.60,-68.60,-7.93
2021-06-23,14:05:00.000,69.06,186.66,-68.59,-8.01
2021-06-23,14:10:00.000,69.06,186.90,-68.56,-8.30
2021-06-23,14:15:00.000,69.06,186.76,-68.58,-8.12
2021-06-23,14:20:00.000,69.06,186.65,-68.60,-8.00
2021-06-23,14:25:00.000,69.06,186.84,-68.57,-8.22
2021-06-23,14:30:00.000,69.06,186.92,-68.56,-8.32
2021-06-23,14:35:00.000,69.06,186.70,-68.59,-8.06
2021-06-23,14:40:00.000,69.06,186.75,-68.58,-8.12
2021-06-23,14:45:00.000,69.06,187.40,-68.48,-8.90
2021-06-23,14:50:00.000,69.06,187.02,-68.54,-8.43
2021-06-23,14:55:00.000,69.06,186.59,-68.60,-7.93
2021-06-23,15:00:00.000,69.06,186.63,-68.60,-7.98
2021-06-23,15:05:00.000,69.06,186.69,-68.59,-8.05
2021-06-23,15:10:00.000,69.06,186.81,-68.57,-8.19
2021-06-23,15:15:00.000,69.06,186.80,-68.57,-8.17
