Date,Time,DateTime (UTC),DateTime (AST),Speed (cm/s),Heading (degrees),Velocity-N (cm/s),Velocity-E (cm/s),Temperature (C)
6/26/24,45:00.0,2024-06-26 13:45:00,6/26/2024 9:45:00,5.73,30.49,4.93,2.91,29.1118
6/26/24,00:00.0,2024-06-26 14:00:00,6/26/2024 10:00:00,6.06,39.02,4.71,3.82,29.1146
6/26/24,15:00.0,2024-06-26 14:15:00,6/26/2024 10:15:00,7.89,36.85,6.31,4.73,29.1204
6/26/24,30:00.0,2024-06-26 14:30:00,6/26/2024 10:30:00,4.16,49.74,2.69,3.18,29.1261
6/26/24,45:00.0,2024-06-26 14:45:00,6/26/2024 10:45:00,10.46,30.92,8.97,5.37,29.1304
6/26/24,00:00.0,2024-06-26 15:00:00,6/26/2024 11:00:00,6.22,56.72,3.41,5.2,29.1419
6/26/24,15:00.0,2024-06-26 15:15:00,6/26/2024 11:15:00,7.36,37.26,5.86,4.46,29.1563
6/26/24,30:00.0,2024-06-26 15:30:00,6/26/2024 11:30:00,8.23,50.84,5.2,6.38,29.1664
6/26/24,45:00.0,2024-06-26 15:45:00,6/26/2024 11:45:00,10.04,42.2,7.44,6.75,29.1678
6/26/24,00:00.0,2024-06-26 16:00:00,6/26/2024 12:00:00,5.3,47.9,3.55,3.93,29.1822
6/26/24,15:00.0,2024-06-26 16:15:00,6/26/2024 12:15:00,4.2,46.24,2.9,3.03,29.1851
6/26/24,30:00.0,2024-06-26 16:30:00,6/26/2024 12:30:00,4.17,22.19,3.86,1.57,29.1908
6/26/24,45:00.0,2024-06-26 16:45:00,6/26/2024 12:45:00,4.87,20.03,4.58,1.67,29.1908
6/26/24,00:00.0,2024-06-26 17:00:00,6/26/2024 13:00:00,2.13,10.95,2.09,0.4,29.2052
6/26/24,15:00.0,2024-06-26 17:15:00,6/26/2024 13:15:00,5.53,23.37,5.07,2.19,29.2081
6/26/24,30:00.0,2024-06-26 17:30:00,6/26/2024 13:30:00,4.9,10.1,4.83,0.86,29.2023
6/26/24,45:00.0,2024-06-26 17:45:00,6/26/2024 13:45:00,3.94,18.88,3.72,1.27,29.2009
6/26/24,00:00.0,2024-06-26 18:00:00,6/26/2024 14:00:00,4.65,8.11,4.61,0.66,29.2095
6/26/24,15:00.0,2024-06-26 18:15:00,6/26/2024 14:15:00,2.75,307.28,1.66,-2.19,29.2052
6/26/24,30:00.0,2024-06-26 18:30:00,6/26/2024 14:30:00,3.76,326.64,3.14,-2.07,29.2023
6/26/24,45:00.0,2024-06-26 18:45:00,6/26/2024 14:45:00,2.49,292.36,0.95,-2.3,29.2037
6/26/24,00:00.0,2024-06-26 19:00:00,6/26/2024 15:00:00,3.14,305.6,1.83,-2.55,29.1994
6/26/24,15:00.0,2024-06-26 19:15:00,6/26/2024 15:15:00,2.63,275.63,0.26,-2.62,29.198
6/26/24,30:00.0,2024-06-26 19:30:00,6/26/2024 15:30:00,2.6,269.7,-0.01,-2.6,29.1994
6/26/24,45:00.0,2024-06-26 19:45:00,6/26/2024 15:45:00,2.49,275.01,0.22,-2.48,29.1966
6/26/24,00:00.0,2024-06-26 20:00:00,6/26/2024 16:00:00,1.85,250.81,-0.61,-1.75,29.1966
6/26/24,15:00.0,2024-06-26 20:15:00,6/26/2024 16:15:00,1.88,259.88,-0.33,-1.85,29.1937
6/26/24,30:00.0,2024-06-26 20:30:00,6/26/2024 16:30:00,1.77,249.8,-0.61,-1.66,29.1807
6/26/24,45:00.0,2024-06-26 20:45:00,6/26/2024 16:45:00,1.67,231.21,-1.05,-1.3,29.1937
6/26/24,00:00.0,2024-06-26 21:00:00,6/26/2024 17:00:00,2.2,156.98,-2.03,0.86,29.1649
6/26/24,15:00.0,2024-06-26 21:15:00,6/26/2024 17:15:00,3.54,146.91,-2.96,1.93,29.175
6/26/24,30:00.0,2024-06-26 21:30:00,6/26/2024 17:30:00,3.16,166.12,-3.07,0.76,29.1851
6/26/24,45:00.0,2024-06-26 21:45:00,6/26/2024 17:45:00,2.58,196.12,-2.48,-0.72,29.2037
6/26/24,00:00.0,2024-06-26 22:00:00,6/26/2024 18:00:00,4.57,225.63,-3.2,-3.27,29.2987
6/26/24,15:00.0,2024-06-26 22:15:00,6/26/2024 18:15:00,6.06,219.1,-4.7,-3.82,29.3231
6/26/24,30:00.0,2024-06-26 22:30:00,6/26/2024 18:30:00,5.16,225.57,-3.62,-3.69,29.2886
6/26/24,45:00.0,2024-06-26 22:45:00,6/26/2024 18:45:00,4.02,211.71,-3.42,-2.11,29.2929
6/26/24,00:00.0,2024-06-26 23:00:00,6/26/2024 19:00:00,5.77,207.42,-5.12,-2.66,29.3275
6/26/24,15:00.0,2024-06-26 23:15:00,6/26/2024 19:15:00,5.71,214.49,-4.7,-3.23,29.3591
6/26/24,30:00.0,2024-06-26 23:30:00,6/26/2024 19:30:00,5.85,219.47,-4.52,-3.72,29.3606
6/26/24,45:00.0,2024-06-26 23:45:00,6/26/2024 19:45:00,5.85,215.17,-4.78,-3.37,29.3476
6/27/24,00:00.0,2024-06-27 00:00:00,6/26/2024 20:00:00,6.85,215.06,-5.6,-3.93,29.3275
6/27/24,15:00.0,2024-06-27 00:15:00,6/26/2024 20:15:00,2.58,231.45,-1.61,-2.02,29.3102
6/27/24,30:00.0,2024-06-27 00:30:00,6/26/2024 20:30:00,2.79,225.36,-1.96,-1.99,29.303
6/27/24,45:00.0,2024-06-27 00:45:00,6/26/2024 20:45:00,1.57,222.64,-1.15,-1.06,29.2886
6/27/24,00:00.0,2024-06-27 01:00:00,6/26/2024 21:00:00,2.05,344.69,1.98,-0.54,29.2857
6/27/24,15:00.0,2024-06-27 01:15:00,6/26/2024 21:15:00,2.48,0.53,2.48,0.02,29.2757
6/27/24,30:00.0,2024-06-27 01:30:00,6/26/2024 21:30:00,2.69,4.15,2.68,0.19,29.2699
6/27/24,45:00.0,2024-06-27 01:45:00,6/26/2024 21:45:00,1.98,12.69,1.93,0.43,29.2656
6/27/24,00:00.0,2024-06-27 02:00:00,6/26/2024 22:00:00,4.27,34.27,3.53,2.4,29.2699
6/27/24,15:00.0,2024-06-27 02:15:00,6/26/2024 22:15:00,4.05,37.61,3.21,2.47,29.2757
6/27/24,30:00.0,2024-06-27 02:30:00,6/26/2024 22:30:00,6.9,68.13,2.57,6.41,29.28
6/27/24,45:00.0,2024-06-27 02:45:00,6/26/2024 22:45:00,10.84,80.02,1.88,10.67,29.2972
6/27/24,00:00.0,2024-06-27 03:00:00,6/26/2024 23:00:00,9.19,82.05,1.27,9.11,29.3275
6/27/24,15:00.0,2024-06-27 03:15:00,6/26/2024 23:15:00,8.6,81.95,1.2,8.51,29.3332
6/27/24,30:00.0,2024-06-27 03:30:00,6/26/2024 23:30:00,4.77,81.63,0.69,4.72,29.3505
6/27/24,45:00.0,2024-06-27 03:45:00,6/26/2024 23:45:00,3.45,74.18,0.94,3.32,29.3591
6/27/24,00:00.0,2024-06-27 04:00:00,6/27/2024 0:00:00,4.85,32.32,4.1,2.59,29.3764
6/27/24,15:00.0,2024-06-27 04:15:00,6/27/2024 0:15:00,4.02,25.96,3.61,1.76,29.3908
6/27/24,30:00.0,2024-06-27 04:30:00,6/27/2024 0:30:00,5.01,23.13,4.61,1.97,29.3951
6/27/24,45:00.0,2024-06-27 04:45:00,6/27/2024 0:45:00,6.93,39.28,5.37,4.39,29.3937
6/27/24,00:00.0,2024-06-27 05:00:00,6/27/2024 1:00:00,3.11,25.95,2.8,1.36,29.3951
6/27/24,15:00.0,2024-06-27 05:15:00,6/27/2024 1:15:00,4.39,344.5,4.23,-1.17,29.3318
6/27/24,30:00.0,2024-06-27 05:30:00,6/27/2024 1:30:00,2.38,1.05,2.38,0.04,29.2627
6/27/24,45:00.0,2024-06-27 05:45:00,6/27/2024 1:45:00,0.75,255.39,-0.19,-0.73,29.2613
6/27/24,00:00.0,2024-06-27 06:00:00,6/27/2024 2:00:00,1.52,295.77,0.66,-1.37,29.2728
6/27/24,15:00.0,2024-06-27 06:15:00,6/27/2024 2:15:00,1.99,214.22,-1.65,-1.12,29.2886
6/27/24,30:00.0,2024-06-27 06:30:00,6/27/2024 2:30:00,2.92,207.37,-2.59,-1.34,29.2843
6/27/24,45:00.0,2024-06-27 06:45:00,6/27/2024 2:45:00,4.64,222.92,-3.4,-3.16,29.2426
6/27/24,00:00.0,2024-06-27 07:00:00,6/27/2024 3:00:00,5.11,221.84,-3.81,-3.41,29.2354
6/27/24,15:00.0,2024-06-27 07:15:00,6/27/2024 3:15:00,5.59,228.44,-3.71,-4.18,29.2397
6/27/24,30:00.0,2024-06-27 07:30:00,6/27/2024 3:30:00,5.61,218.06,-4.41,-3.46,29.2296
6/27/24,45:00.0,2024-06-27 07:45:00,6/27/2024 3:45:00,6.47,220.37,-4.93,-4.19,29.2267
6/27/24,00:00.0,2024-06-27 08:00:00,6/27/2024 4:00:00,5.87,218.86,-4.57,-3.68,29.2267
6/27/24,15:00.0,2024-06-27 08:15:00,6/27/2024 4:15:00,7.77,215.51,-6.33,-4.51,29.2267
6/27/24,30:00.0,2024-06-27 08:30:00,6/27/2024 4:30:00,7.83,224.81,-5.56,-5.52,29.2253
6/27/24,45:00.0,2024-06-27 08:45:00,6/27/2024 4:45:00,7.15,218.83,-5.57,-4.49,29.2296
6/27/24,00:00.0,2024-06-27 09:00:00,6/27/2024 5:00:00,8.95,224.73,-6.36,-6.3,29.2224
6/27/24,15:00.0,2024-06-27 09:15:00,6/27/2024 5:15:00,9.76,218.31,-7.66,-6.05,29.2138
6/27/24,30:00.0,2024-06-27 09:30:00,6/27/2024 5:30:00,8.66,218.64,-6.76,-5.41,29.2124
6/27/24,45:00.0,2024-06-27 09:45:00,6/27/2024 5:45:00,7.78,216.95,-6.22,-4.68,29.2152
6/27/24,00:00.0,2024-06-27 10:00:00,6/27/2024 6:00:00,5.68,219.02,-4.42,-3.58,29.2267
6/27/24,15:00.0,2024-06-27 10:15:00,6/27/2024 6:15:00,7.13,214.67,-5.86,-4.05,29.2282
6/27/24,30:00.0,2024-06-27 10:30:00,6/27/2024 6:30:00,6.91,220.23,-5.27,-4.46,29.2311
6/27/24,45:00.0,2024-06-27 10:45:00,6/27/2024 6:45:00,5.89,212.55,-4.97,-3.17,29.2383
