"UTCDateTime","Temperature"
2021-06-28 08:19:59,28.0917
2021-06-28 08:24:59,28.0979
2021-06-28 08:29:59,28.1067
2021-06-28 08:34:59,28.1051
2021-06-28 08:39:59,28.1066
2021-06-28 08:44:59,28.1063
2021-06-28 08:49:59,28.1088
2021-06-28 08:54:59,28.1101
2021-06-28 08:59:59,28.1091
2021-06-28 09:04:59,28.1073
2021-06-28 09:09:59,28.107
2021-06-28 09:14:59,28.1098
2021-06-28 09:19:59,28.1077
2021-06-28 09:24:59,28.1156
2021-06-28 09:29:59,28.1151
2021-06-28 09:34:59,28.1171
2021-06-28 09:39:59,28.1194
2021-06-28 09:44:59,28.1206
2021-06-28 09:49:59,28.1145
2021-06-28 09:54:59,28.1169
2021-06-28 09:59:59,28.1183
2021-06-28 10:04:59,28.1136
2021-06-28 10:09:59,28.1165
2021-06-28 10:14:59,28.1166
2021-06-28 10:19:59,28.1169
2021-06-28 10:24:59,28.1194
2021-06-28 10:29:59,28.1197
2021-06-28 10:34:59,28.1197
2021-06-28 10:39:59,28.1222
2021-06-28 10:44:59,28.1218
2021-06-28 10:49:59,28.123
2021-06-28 10:54:59,28.1294
2021-06-28 10:59:59,28.1299
2021-06-28 11:04:59,28.1321
2021-06-28 11:09:59,28.1349
2021-06-28 11:14:59,28.1385
2021-06-28 11:19:59,28.1403
2021-06-28 11:24:59,28.142
2021-06-28 11:29:59,28.1431
2021-06-28 11:34:59,28.1399
2021-06-28 11:39:59,28.1387
2021-06-28 11:44:59,28.1421
2021-06-28 11:49:59,28.1436
2021-06-28 11:54:59,28.143
2021-06-28 11:59:59,28.1466
2021-06-28 12:04:59,28.1486
2021-06-28 12:09:59,28.1497
2021-06-28 12:14:59,28.152
2021-06-28 12:19:59,28.1526
2021-06-28 12:24:59,28.1524
2021-06-28 12:29:59,28.1455
2021-06-28 12:34:59,28.1401
2021-06-28 12:39:59,28.1385
2021-06-28 12:44:59,28.1353
2021-06-28 12:49:59,28.135
2021-06-28 12:54:59,28.1249
2021-06-28 12:59:59,28.1229
2021-06-28 13:04:59,28.1321
2021-06-28 13:09:59,28.1226
2021-06-28 13:14:59,28.1182
2021-06-28 13:19:59,28.1235
2021-06-28 13:24:59,28.1252
2021-06-28 13:29:59,28.1253
2021-06-28 13:34:59,28.1232
2021-06-28 13:39:59,28.1236
2021-06-28 13:44:59,28.121
2021-06-28 13:49:59,28.1226
2021-06-28 13:54:59,28.1226
2021-06-28 13:59:59,28.1234
2021-06-28 14:04:59,28.1294
2021-06-28 14:09:59,28.1332
2021-06-28 14:14:59,28.1459
2021-06-28 14:19:59,28.148
2021-06-28 14:24:59,28.1488
2021-06-28 14:29:59,28.1487
2021-06-28 14:34:59,28.1555
2021-06-28 14:39:59,28.1533
2021-06-28 14:44:59,28.1549
2021-06-28 14:49:59,28.1586
2021-06-28 14:54:59,28.1599
2021-06-28 14:59:59,28.1595
2021-06-28 15:04:59,28.1571
2021-06-28 15:09:59,28.1545
2021-06-28 15:14:59,28.1543
2021-06-28 15:19:59,28.1538
2021-06-28 15:24:59,28.1607
2021-06-28 15:29:59,28.1711
2021-06-28 15:34:59,28.186
2021-06-28 15:39:59,28.1974
2021-06-28 15:44:59,28.2069
2021-06-28 15:49:59,28.2077
2021-06-28 15:54:59,28.2188
2021-06-28 15:59:59,28.2249
2021-06-28 16:04:59,28.2296
2021-06-28 16:09:59,28.231
2021-06-28 16:14:59,28.2301
2021-06-28 16:19:59,28.2303
2021-06-28 16:24:59,28.2302
2021-06-28 16:29:59,28.2345
2021-06-28 16:34:59,28.2334
2021-06-28 16:39:59,28.2387
2021-06-28 16:44:59,28.2395
2021-06-28 16:49:59,28.2412
2021-06-28 16:54:59,28.2495
2021-06-28 16:59:59,28.256
2021-06-28 17:04:59,28.2485
2021-06-28 17:09:59,28.2484
2021-06-28 17:14:59,28.2549
2021-06-28 17:19:59,28.2657
2021-06-28 17:24:59,28.2726
2021-06-28 17:29:59,28.2836
2021-06-28 17:34:59,28.2839
2021-06-28 17:39:59,28.2908
2021-06-28 17:44:59,28.2933
2021-06-28 17:49:59,28.2958
2021-06-28 17:54:59,28.3038
2021-06-28 17:59:59,28.292
2021-06-28 18:04:59,28.2785
2021-06-28 18:09:59,28.2682
2021-06-28 18:14:59,28.2728
2021-06-28 18:19:59,28.2619
2021-06-28 18:24:59,28.2579
2021-06-28 18:29:59,28.2444
2021-06-28 18:34:59,28.2491
2021-06-28 18:39:59,28.2624
2021-06-28 18:44:59,28.2743
2021-06-28 18:49:59,28.2794
2021-06-28 18:54:59,28.2817
2021-06-28 18:59:59,28.2807
2021-06-28 19:04:59,28.2841
2021-06-28 19:09:59,28.29
2021-06-28 19:14:59,28.2972
2021-06-28 19:19:59,28.3013
2021-06-28 19:24:59,28.3066
2021-06-28 19:29:59,28.3125
2021-06-28 19:34:59,28.3168
2021-06-28 19:39:59,28.3153
2021-06-28 19:44:59,28.3111
2021-06-28 19:49:59,28.3082
2021-06-28 19:54:59,28.3053
2021-06-28 19:59:59,28.3027
2021-06-28 20:04:59,28.3022
2021-06-28 20:09:59,28.3093
2021-06-28 20:14:59,28.3145
2021-06-28 20:19:59,28.3252
2021-06-28 20:24:59,28.3314
2021-06-28 20:29:59,28.3397
2021-06-28 20:34:59,28.35
2021-06-28 20:39:59,28.362
2021-06-28 20:44:59,28.3761
2021-06-28 20:49:59,28.3862
2021-06-28 20:54:59,28.3963
2021-06-28 20:59:59,28.4029
2021-06-28 21:04:59,28.4051
2021-06-28 21:09:59,28.4003
2021-06-28 21:14:59,28.3965
2021-06-28 21:19:59,28.3949
2021-06-28 21:24:59,28.3983
2021-06-28 21:29:59,28.3985
2021-06-28 21:34:59,28.4054
2021-06-28 21:39:59,28.4078
2021-06-28 21:44:59,28.4094
2021-06-28 21:49:59,28.4112
2021-06-28 21:54:59,28.4157
2021-06-28 21:59:59,28.42
2021-06-28 22:04:59,28.4214
2021-06-28 22:09:59,28.4133
2021-06-28 22:14:59,28.4084
2021-06-28 22:19:59,28.4058
2021-06-28 22:24:59,28.4022
2021-06-28 22:29:59,28.4
2021-06-28 22:34:59,28.4013
2021-06-28 22:39:59,28.4018
2021-06-28 22:44:59,28.4038
2021-06-28 22:49:59,28.4033
2021-06-28 22:54:59,28.4005
2021-06-28 22:59:59,28.3997
2021-06-28 23:04:59,28.396
2021-06-28 23:09:59,28.3928
2021-06-28 23:14:59,28.3877
2021-06-28 23:19:59,28.3867
2021-06-28 23:24:59,28.3768
2021-06-28 23:29:59,28.3772
2021-06-28 23:34:59,28.3774
2021-06-28 23:39:59,28.3759
2021-06-28 23:44:59,28.3734
2021-06-28 23:49:59,28.37
2021-06-28 23:54:59,28.3675
2021-06-28 23:59:59,28.3615
2021-06-29 00:04:59,28.3604
2021-06-29 00:09:59,28.3586
2021-06-29 00:14:59,28.3587
2021-06-29 00:19:59,28.3515
2021-06-29 00:24:59,28.3493
2021-06-29 00:29:59,28.3432
2021-06-29 00:34:59,28.3466
2021-06-29 00:39:59,28.3426
2021-06-29 00:44:59,28.3409
2021-06-29 00:49:59,28.3367
2021-06-29 00:54:59,28.3343
2021-06-29 00:59:59,28.3323
